Nitrogen,Phosphorus,Potassium,humidity,ph,temperature,rainfall,label
90,42,43,82.00274423,6.502985292,20.87974371,202.9355362,1
85,58,41,80.31964408,7.038096361,21.77046169,226.6555374,1
60,55,44,82.3207629,7.840207144,23.00445915,263.9642476,1
74,35,40,80.15836264,6.980400905,26.49109635,242.8640342,1
78,42,42,81.60487287,7.628472891,20.13017482,262.7173405,1
69,37,42,83.37011772,7.073453503,23.05804872,251.0549998,1
69,55,38,82.63941394,5.70080568,22.70883798,271.3248604,1
94,53,40,82.89408619,5.718627178,20.27774362,241.9741949,1
89,54,38,83.5352163,6.685346424,24.51588066,230.4462359,1
68,58,38,83.03322691,6.336253525,23.22397386,221.2091958,1
91,53,40,81.41753846,5.386167788,26.52723513,264.6148697,1
90,46,42,81.45061596,7.50283396,23.97898217,250.0832336,1
78,58,44,80.88684822,5.108681786,26.80079604,284.4364567,1
93,56,36,82.05687182,6.98435366,24.01497622,185.2773389,1
94,50,37,80.66385045,6.94801983,25.66585205,209.5869708,1
60,48,39,80.30025587,7.042299069,24.28209415,231.0863347,1
85,38,41,82.7883708,6.249050656,21.58711777,276.6552459,1
91,35,39,80.41817957,6.970859754,23.79391957,206.2611855,1
77,38,36,80.1923008,5.953933276,21.8652524,224.5550169,1
88,35,40,83.58760316,5.85393208,23.57943626,291.2986618,1
89,45,36,80.47476396,6.442475375,21.32504158,185.4974732,1
76,40,43,83.11713476,5.070175667,25.15745531,231.3843163,1
67,59,41,80.97384195,6.012632591,21.94766735,213.3560921,1
83,41,43,82.67839517,6.254028451,21.0525355,233.1075816,1
98,47,37,81.33265073,7.375482851,23.48381344,224.0581164,1
66,53,41,80.52389148,7.778915154,25.0756354,257.0038865,1
97,59,43,84.04403589,6.286500176,26.35927159,271.3586137,1
97,50,41,80.54498576,7.070959995,24.52922681,260.2634026,1
60,49,44,84.49774397,6.244841491,20.77576147,240.0810647,1
84,51,35,80.64416466,6.043304899,22.30157427,197.9791215,1
73,57,41,84.94375962,5.824709117,21.44653958,272.2017204,1
92,35,40,80.33127223,6.357389366,22.17931888,200.0882787,1
85,37,39,82.73685569,6.364134968,24.52783742,224.6757231,1
98,53,38,81.63895217,5.01450727,20.26707606,270.4417274,1
88,54,44,83.88266234,6.149410611,25.7354293,233.1321372,1
95,55,42,82.1480873,5.950660556,26.79533926,193.3473987,1
99,57,35,81.17734011,5.960370061,26.75754171,272.2999056,1
95,39,36,83.15250801,5.561398642,23.86330467,285.2493645,1
60,43,44,82.95221726,7.416245107,21.01944696,298.4018471,1
63,44,41,83.7287574,5.583370042,24.17298839,257.0343554,1
62,42,36,82.06719137,6.430010215,22.78133816,248.7183228,1
64,45,43,83.52842314,5.534878156,25.62980105,209.9001977,1
83,60,36,80.14509262,6.903985986,25.59704938,200.834898,1
82,40,40,84.81360127,6.271478838,23.83067496,298.5601175,1
85,52,45,82.36698992,7.224285503,26.31355498,265.5355937,1
91,35,38,80.52586088,6.13428721,24.8972823,183.6793207,1
76,49,42,84.47963372,5.206373153,24.958779,196.9560008,1
74,39,38,84.59201843,7.782051313,23.24113501,233.0453455,1
79,43,39,80.70960551,7.062779015,21.66628296,210.8142087,1
88,55,45,80.41363018,7.730367824,24.63544858,253.7202781,1
60,36,43,83.06310136,5.286203711,23.43121862,219.9048349,1
76,60,39,80.3477562,6.766240045,20.0454142,208.5810155,1
93,56,42,82.22572988,7.382762603,23.85724032,195.0948311,1
65,60,43,81.89918197,5.658169482,21.97199397,227.3637009,1
95,52,36,83.83625819,5.543360238,26.22916897,286.5083725,1
75,38,39,84.79352417,6.215109715,23.44676801,283.9338466,1
74,54,38,83.47021081,7.120272972,25.65553461,217.3788583,1
91,36,45,82.45432595,5.950647577,24.44345477,267.9761948,1
71,46,40,82.1235421,7.236705436,20.2801937,191.9535738,1
99,55,35,80.2389895,6.501697816,21.7238313,277.9626192,1
72,40,38,82.20802629,7.592490617,20.41447029,245.1511304,1
83,58,45,83.51827127,5.875345751,25.75528612,245.6626799,1
93,58,38,83.77345559,6.932400225,20.61521424,279.5451717,1
70,36,42,80.72886384,6.946209881,21.84106875,202.3838319,1
